tier,field_type,accuracy,ci_low,ci_high,n
t0,code,1.0,0.7574992425007574,1.0,12
t0,date,0.9423076923076923,0.8435724442484082,0.9801861873094267,52
t0,id,1.0,0.8156763396284354,1.0,17
t0,money,1.0,0.9671212992632762,1.0,113
t0,number,1.0,0.8668035060468213,1.0,25
t0,text,1.0,0.9512744540953,1.0,75
t1,code,1.0,0.7574992425007574,1.0,12
t1,date,0.9615384615384616,0.8701857125563401,0.9893885116779224,52
t1,id,1.0,0.8156763396284354,1.0,17
t1,money,1.0,0.9671212992632762,1.0,113
t1,number,1.0,0.8668035060468213,1.0,25
t1,text,1.0,0.9512744540953,1.0,75
t2,code,1.0,0.7574992425007574,1.0,12
t2,date,0.9038461538461539,0.79390118138839,0.9582262648165898,52
t2,id,0.9411764705882353,0.730174547964372,0.9895398693548358,17
t2,money,0.9823008849557522,0.9377540468123469,0.9951328701761231,113
t2,number,1.0,0.8668035060468213,1.0,25
t2,text,0.9466666666666667,0.8707382679518444,0.9790669110399569,75
t3,code,1.0,0.7574992425007574,1.0,12
t3,date,0.75,0.6179328224079477,0.8476698823856113,52
t3,id,0.35294117647058826,0.17309486143904904,0.5870003327878818,17
t3,money,0.18584070796460178,0.12488614062641963,0.2674535739957698,113
t3,number,0.52,0.334982179531473,0.6996899607103998,25
t3,text,0.84,0.7408308420225468,0.9060357867622572,75
