tier,threshold,coverage,error_rate,n_accepted
t0,0.5,0.9897959183673469,0.0,291
t0,0.52,0.9897959183673469,0.0,291
t0,0.54,0.9897959183673469,0.0,291
t0,0.56,0.9897959183673469,0.0,291
t0,0.58,0.9897959183673469,0.0,291
t0,0.6,0.9897959183673469,0.0,291
t0,0.62,0.9897959183673469,0.0,291
t0,0.64,0.9897959183673469,0.0,291
t0,0.66,0.9897959183673469,0.0,291
t0,0.68,0.9897959183673469,0.0,291
t0,0.7,0.9897959183673469,0.0,291
t0,0.72,0.9897959183673469,0.0,291
t0,0.74,0.9897959183673469,0.0,291
t0,0.76,0.9897959183673469,0.0,291
t0,0.78,0.9897959183673469,0.0,291
t0,0.8,0.9829931972789115,0.0,289
t0,0.82,0.9829931972789115,0.0,289
t0,0.84,0.9795918367346939,0.0,288
t0,0.86,0.9795918367346939,0.0,288
t0,0.88,0.9795918367346939,0.0,288
t0,0.9,0.9795918367346939,0.0,288
t0,0.92,0.9795918367346939,0.0,288
t0,0.94,0.9591836734693877,0.0,282
t0,0.96,0.9319727891156463,0.0,274
t0,0.98,0.6972789115646258,0.0,205
t1,0.5,0.9897959183673469,0.0,291
t1,0.52,0.9897959183673469,0.0,291
t1,0.54,0.9897959183673469,0.0,291
t1,0.56,0.9897959183673469,0.0,291
t1,0.58,0.9897959183673469,0.0,291
t1,0.6,0.9897959183673469,0.0,291
t1,0.62,0.9897959183673469,0.0,291
t1,0.64,0.9897959183673469,0.0,291
t1,0.66,0.9897959183673469,0.0,291
t1,0.68,0.9897959183673469,0.0,291
t1,0.7,0.9897959183673469,0.0,291
t1,0.72,0.9897959183673469,0.0,291
t1,0.74,0.9897959183673469,0.0,291
t1,0.76,0.9897959183673469,0.0,291
t1,0.78,0.9897959183673469,0.0,291
t1,0.8,0.9829931972789115,0.0,289
t1,0.82,0.9829931972789115,0.0,289
t1,0.84,0.9829931972789115,0.0,289
t1,0.86,0.9829931972789115,0.0,289
t1,0.88,0.9829931972789115,0.0,289
t1,0.9,0.9829931972789115,0.0,289
t1,0.92,0.9829931972789115,0.0,289
t1,0.94,0.9829931972789115,0.0,289
t1,0.96,0.9693877551020408,0.0,285
t1,0.98,0.6292517006802721,0.0,185
t2,0.5,0.9013605442176871,0.030188679245283012,265
t2,0.52,0.8775510204081632,0.03100775193798455,258
t2,0.54,0.8707482993197279,0.03125,256
t2,0.56,0.826530612244898,0.028806584362139898,243
t2,0.58,0.7891156462585034,0.025862068965517238,232
t2,0.6,0.7482993197278912,0.027272727272727226,220
t2,0.62,0.7074829931972789,0.024038461538461564,208
t2,0.64,0.6632653061224489,0.02564102564102566,195
t2,0.66,0.6496598639455783,0.02617801047120416,191
t2,0.68,0.6156462585034014,0.027624309392265234,181
t2,0.7,0.5782312925170068,0.02941176470588236,170
t2,0.72,0.5510204081632653,0.030864197530864224,162
t2,0.74,0.47619047619047616,0.0357142857142857,140
t2,0.76,0.43197278911564624,0.03937007874015752,127
t2,0.78,0.3877551020408163,0.04385964912280704,114
t2,0.8,0.30952380952380953,0.05494505494505497,91
t2,0.82,0.2687074829931973,0.06329113924050633,79
t2,0.84,0.1836734693877551,0.07407407407407407,54
t2,0.86,0.14625850340136054,0.09302325581395354,43
t2,0.88,0.11904761904761904,0.05714285714285716,35
t2,0.9,0.08163265306122448,0.04166666666666663,24
t2,0.92,0.04421768707482993,0.0,13
t2,0.94,0.027210884353741496,0.0,8
t2,0.96,0.017006802721088437,0.0,5
t2,0.98,0.013605442176870748,0.0,4
t3,0.5,0.7414965986394558,0.3853211009174312,218
t3,0.52,0.7244897959183674,0.38497652582159625,213
t3,0.54,0.7074829931972789,0.375,208
t3,0.56,0.6768707482993197,0.35678391959798994,199
t3,0.58,0.6598639455782312,0.35567010309278346,194
t3,0.6,0.6054421768707483,0.3314606741573034,178
t3,0.62,0.5612244897959183,0.32121212121212117,165
t3,0.64,0.5272108843537415,0.3032258064516129,155
t3,0.66,0.5170068027210885,0.29605263157894735,152
t3,0.68,0.4897959183673469,0.2847222222222222,144
t3,0.7,0.4489795918367347,0.2954545454545454,132
t3,0.72,0.41156462585034015,0.28099173553719003,121
t3,0.74,0.3129251700680272,0.26086956521739135,92
t3,0.76,0.272108843537415,0.2875,80
t3,0.78,0.22448979591836735,0.2727272727272727,66
t3,0.8,0.18027210884353742,0.30188679245283023,53
t3,0.82,0.14965986394557823,0.34090909090909094,44
t3,0.84,0.10884353741496598,0.4375,32
t3,0.86,0.10204081632653061,0.43333333333333335,30
t3,0.88,0.07482993197278912,0.40909090909090906,22
t3,0.9,0.05442176870748299,0.375,16
t3,0.92,0.034013605442176874,0.4,10
t3,0.94,0.023809523809523808,0.2857142857142857,7
t3,0.96,0.013605442176870748,0.0,4
t3,0.98,0.01020408163265306,0.0,3
